City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Leningradskiy,6,RU,1555697977,94,69.38,178.42,-2.65,6.15
Lorengau,94,PG,1555697977,92,-2.02,147.27,76.92,2.24
Broken Hill,32,AU,1555693200,32,-31.97,141.45,68.0,9.17
Lethem,95,GY,1555697977,29,3.38,-59.8,99.06,12.57
Usinsk,100,RU,1555697977,97,66.0,57.56,32.46,7.27
Turukhansk,59,RU,1555697977,94,65.8,87.96,0.24,2.53
Watertown,1,US,1555697752,54,44.9,-97.12,59.0,11.41
Semnan,20,IR,1555693200,32,35.58,53.39,66.2,4.7
Hendek,40,TR,1555696200,66,40.8,30.75,48.2,4.7
Severo-Kurilsk,1,RU,1555697381,91,50.68,156.12,34.08,21.85
Mahebourg,40,MU,1555697942,83,-20.41,57.7,78.8,5.82
Port Hueneme,90,US,1555697975,77,34.15,-119.2,81.0,5.82
Hay River,75,CA,1555697580,86,60.82,-115.79,33.8,4.7
Careiro da Varzea,48,BR,1555697978,73,-3.2,-59.81,89.16,3.69
Bambous Virieux,40,MU,1555697942,83,-20.34,57.76,78.8,5.82
Flinders,34,AU,1555697867,100,-34.58,150.85,64.99,5.82
Aklavik,90,CA,1555696800,78,68.22,-135.01,15.8,4.7
Vinh,0,VN,1555697979,45,18.67,105.69,91.68,10.56
Asyut,0,EG,1555693200,33,27.18,31.19,77.0,16.11
Provideniya,100,RU,1555697979,66,64.42,-173.23,9.78,3.42
Moranbah,0,AU,1555697979,94,-22.0,148.04,64.32,10.58
Churapcha,35,RU,1555697979,92,62.0,132.43,15.9,6.55
Itarema,100,BR,1555697979,85,-2.92,-39.92,82.86,7.72
Carballo,20,ES,1555697966,63,43.21,-8.69,68.0,6.93
Dikson,94,RU,1555697980,100,73.51,80.55,-3.37,2.8
Toowoomba,40,AU,1555697611,93,-27.56,151.95,66.0,17.22
Torrington,1,US,1555697952,26,42.06,-104.18,70.0,6.93
Sabha,0,LY,1555697980,11,27.03,14.43,86.64,10.29
Effingham,90,US,1555697759,75,39.12,-88.54,48.2,18.34
Cobh,75,IE,1555697556,77,51.85,-8.29,59.0,6.93
Eenhana,6,NA,1555697981,30,-17.48,16.34,81.06,5.79
Kettering,0,GB,1555697763,34,52.4,-0.73,71.01,9.17
Bogatyye Saby,0,RU,1555697981,70,56.01,50.45,30.48,2.42
Yulara,50,AU,1555693200,27,-25.24,130.99,62.6,4.7
Soma,17,JP,1555697756,67,37.8,140.92,41.0,1.01
Ponta Delgada,75,PT,1555695000,93,37.73,-25.67,64.4,4.7
Beyneu,37,KZ,1555697981,60,45.32,55.19,44.52,5.79
Bathsheba,75,BB,1555693200,62,13.22,-59.52,86.0,25.28
Cherskiy,1,RU,1555697982,93,68.75,161.3,-6.61,6.17
Namibe,10,AO,1555697382,74,-15.19,12.15,75.84,11.54
Levice,0,SK,1555697547,22,48.22,18.6,64.4,8.05
La Ronge,75,CA,1555696800,62,55.1,-105.3,51.8,8.05
Kud,0,IN,1555697982,54,33.08,75.29,63.6,6.11
Mount Vernon,90,US,1555697941,93,48.42,-122.33,55.4,6.93
Fortuna,75,ES,1555697968,87,38.18,-1.13,59.0,1.12
Maputo,20,MZ,1555696800,78,-25.97,32.57,77.0,14.99
Tautira,20,PF,1555696381,66,-17.73,-149.15,84.2,4.7
Raudeberg,24,NO,1555694400,46,61.99,5.14,53.6,10.29
Ileza,100,RU,1555697984,92,61.05,43.9,38.58,3.85
Kahului,40,US,1555697774,69,20.89,-156.47,75.2,16.11
Heerenveen,0,NL,1555697925,67,52.96,5.93,71.01,12.75
Kolokani,0,ML,1555697984,5,13.58,-8.03,106.62,5.82
Lac du Bonnet,50,CA,1555697973,34,50.25,-96.06,62.01,8.99
Rockhampton,1,AU,1555695000,82,-23.38,150.51,68.0,4.7
Pachino,0,IT,1555697713,52,36.72,15.09,64.4,10.29
Pareora,63,NZ,1555697705,97,-44.49,171.21,48.0,3.56
Celestun,30,MX,1555697985,75,20.87,-90.4,77.28,22.15
Khawhai,32,IN,1555697985,73,23.52,93.19,63.78,2.37
Saint-Leu,0,RE,1555697782,69,-21.15,55.28,78.8,5.82
Douglas,46,US,1555697930,13,31.34,-109.55,82.0,8.01
Piacabucu,96,BR,1555697986,67,-10.41,-36.43,86.64,9.33
Basco,1,US,1555697979,44,40.33,-91.2,57.99,18.34
Coihaique,0,CL,1555693200,50,-45.58,-72.07,57.2,3.36
Solnechnyy,99,RU,1555697987,88,50.72,136.64,26.7,7.23
Severo-Yeniseyskiy,88,RU,1555697987,97,60.37,93.04,12.84,4.52
Barcelos,20,PT,1555697825,64,41.53,-8.62,71.6,10.29
Kieta,100,PG,1555697987,74,-6.22,155.63,82.68,4.45
Guadalupe y Calvo,67,MX,1555697987,8,26.09,-106.96,78.18,4.05
Caravelas,9,BR,1555697987,63,-17.73,-39.27,87.0,6.13
Longyearbyen,90,NO,1555696200,93,78.22,15.63,35.6,6.93
Vostok,59,RU,1555697988,70,46.45,135.83,25.62,3.33
Shubarshi,0,KZ,1555697988,35,48.59,57.19,36.78,8.43
Marawi,18,PH,1555697865,89,8.0,124.29,75.99,5.99
Rock Springs,1,US,1555696440,30,41.59,-109.2,57.2,13.87
Oistins,75,BB,1555693200,62,13.07,-59.53,86.0,25.28
Wajir,40,KE,1555693200,36,1.75,40.07,95.0,3.36
Nuuk,0,GL,1555696360,63,64.17,-51.74,28.0,11.41
Comodoro Rivadavia,0,AR,1555693200,34,-45.87,-67.48,66.2,9.17
Juneau,75,US,1555697717,80,58.3,-134.42,41.0,11.41
Jijiga,97,ET,1555697989,86,9.35,42.8,63.78,5.06
Naze,55,NG,1555697989,63,5.43,7.07,86.46,7.31
Pangody,75,RU,1555697989,93,65.85,74.49,16.26,14.54
Tilichiki,83,RU,1555697989,88,60.47,166.1,29.76,2.66
Katsuura,75,JP,1555697290,66,33.93,134.5,53.6,10.29
Plettenberg Bay,68,ZA,1555697990,63,-34.05,23.37,62.34,3.74
Hammonton,90,US,1555697950,78,39.64,-74.8,79.0,19.46
Napier,0,NZ,1555697404,97,-39.49,176.92,45.0,4.0
Yarim,89,YE,1555697990,68,14.3,44.38,70.62,2.48
Copiapo,40,CL,1555693200,55,-27.37,-70.33,66.2,4.7
Praia,20,BR,1555697915,39,-20.25,-43.81,84.2,5.82
Tecoanapa,5,MX,1555693320,61,16.99,-99.26,82.4,10.29
Kalnibolotskaya,100,RU,1555697716,44,46.01,40.45,46.0,15.23
Dasoguz,0,TM,1555695000,66,41.84,59.97,48.2,11.41
Bougouni,91,ML,1555697991,23,11.42,-7.49,101.22,4.21
Bemidji,1,US,1555697812,35,47.48,-94.89,61.0,16.11
Sao Joao da Barra,20,BR,1555693200,48,-21.64,-41.05,87.8,6.93
Touros,75,BR,1555693200,66,-5.2,-35.46,87.8,11.41
Marsa Matruh,20,EG,1555693200,59,31.35,27.25,62.6,8.05
Panama City,40,US,1555697858,72,30.16,-85.65,69.8,31.09
Contai,1,IN,1555697992,49,21.78,87.75,81.06,4.92
Dauphin,20,CA,1555696800,25,51.15,-100.04,66.2,24.16
Miquelon,90,PM,1555696800,100,47.1,-56.38,33.8,31.09
Cankuzo,75,BI,1555697992,87,-3.22,30.55,64.5,3.44
Kunya,27,NG,1555693200,15,12.22,8.53,96.8,3.36
Jianhu,75,CN,1555697588,94,29.93,120.57,72.0,2.24
Oksovskiy,100,RU,1555697993,96,62.61,39.91,39.12,6.08
Bure,7,NG,1555697993,9,10.52,10.33,93.3,4.83
Lima,0,PE,1555697404,69,-12.06,-77.04,75.2,8.05
Albanel,90,CA,1555697779,80,48.88,-72.44,41.0,10.29
Bani,12,PH,1555697993,83,15.89,120.27,80.16,1.19
Kumta,28,IN,1555697994,75,14.42,74.4,84.66,14.97
Avera,75,US,1555697993,94,33.19,-82.53,71.6,17.22
Madaoua,0,NE,1555697994,4,14.07,5.96,95.64,8.7
Alyangula,90,AU,1555693200,94,-13.85,136.42,75.2,12.8
Ambon,0,FR,1555697969,56,47.55,-2.56,71.6,6.93
Southbridge,90,US,1555697905,64,42.08,-72.03,75.2,20.8
Mackay,40,CA,1555696800,45,53.65,-115.58,46.4,18.34
Coihueco,90,CL,1555693200,100,-36.63,-71.83,53.6,4.7
Nurota,90,UZ,1555695000,82,40.56,65.69,55.4,9.17
Derzhavinsk,100,KZ,1555697995,76,51.1,66.31,30.48,14.0
Mazamari,100,PE,1555697910,82,-11.33,-74.53,40.56,9.04
El Tigre,100,VE,1555697904,33,8.89,-64.25,94.38,10.2
San Rafael,2,AR,1555697996,37,-34.61,-68.33,77.82,9.17
Kotelnikovo,68,RU,1555697996,51,47.63,43.14,43.08,9.06
Coahuayana,13,MX,1555697997,19,18.62,-100.35,99.78,4.56
Manicore,99,BR,1555697997,57,-5.81,-61.3,91.32,2.66
Alta Floresta,51,BR,1555697997,51,-9.87,-56.08,91.5,3.8
Kisangani,96,CD,1555697998,55,0.52,25.21,82.32,1.77
Humaita,40,AR,1555696800,51,-24.93,-65.37,82.4,4.7
Bonfim,0,BR,1555697915,51,-20.33,-44.24,81.0,4.85
Shenavan,40,TR,1555696800,75,40.05,43.92,46.4,4.7
Paramirim,22,BR,1555697999,41,-13.44,-42.24,88.8,2.13
Eden,75,CA,1555696800,30,50.38,-99.47,66.2,28.86
Thunder Bay,20,CA,1555697859,23,48.41,-89.26,60.8,8.05
Kitimat,75,CA,1555696800,87,54.02,-128.69,42.8,10.29
Dehui,0,CN,1555693200,30,44.53,125.71,41.0,6.71
Cairns,40,AU,1555697621,83,-16.92,145.77,73.4,11.41
Hofn,100,IS,1555698000,99,64.25,-15.21,38.04,18.5
Baker City,20,US,1555697769,40,44.77,-117.83,71.01,16.11
Choma,100,ZM,1555698000,89,-16.81,26.98,67.02,5.95
Digha,0,IN,1555698001,66,21.62,87.51,84.48,4.61
Borkenes,100,NO,1555697793,87,68.77,16.17,46.4,43.62
Leninogorsk,73,RU,1555698001,62,54.6,52.45,35.7,4.29
Lucea,20,JM,1555697767,70,18.44,-78.17,87.01,13.87
Esso,84,RU,1555698002,83,55.93,158.7,18.96,0.54
Kijang,75,KR,1555693200,62,35.24,129.21,51.8,5.82
Biu,32,NG,1555698002,9,10.61,12.19,95.82,1.79
Cassilandia,10,BR,1555698002,54,-19.11,-51.73,84.48,4.5
Kamenka,0,RU,1555698003,35,53.19,44.05,40.38,2.33
Bubaque,1,GW,1555698003,72,11.28,-15.83,79.08,15.37
Kloulklubed,90,PW,1555692600,94,7.04,134.26,77.0,8.05
Bessonovka,0,RU,1555698003,36,53.31,45.04,40.02,2.19
Biak,99,ID,1555698004,99,-0.91,122.88,66.48,1.43
Baykit,87,RU,1555698004,87,61.68,96.39,8.88,13.35
Tucurui,53,BR,1555698004,55,-3.77,-49.67,90.6,4.34
Soria,100,ES,1555698004,69,41.76,-2.46,47.94,16.04
Paamiut,0,GL,1555698004,63,61.99,-49.67,28.32,13.6
Jablonne v Podjestedi,0,CZ,1555697903,49,50.77,14.76,64.0,1.01
Myrtle Beach,75,US,1555697843,83,33.7,-78.89,77.0,16.11
Pangnirtung,90,CA,1555696800,85,66.15,-65.72,15.8,10.29
Kanniyakumari,99,IN,1555697780,72,8.08,77.57,85.92,7.58
